merTbin,tempbin,merQVbin,dglaciation,dcloudthickness,alln,merT,temp,merQV
16,16,3,2.33350232408121,0.0757675231038051,135165,-13.75,-13.75,0.002
16,16,2,0.741311481905058,0.0640457278796314,305598,-13.75,-13.75,0.001
16,15,2,1.32378252841959,0.138821971963008,76286,-13.75,-17.5,0.001
15,15,2,2.11368299574143,0.130088557241978,293409,-17.5,-17.5,0.001
15,15,1,4.58207999146707,0.17837520269474,66126,-17.5,-17.5,0
14,15,1,0.160816533099663,-0.305589556179866,27431,-21.25,-17.5,0
14,14,1,3.14649780816765,-0.0162922450493803,143525,-21.25,-21.25,0
14,NA,1,8.82551195988165,0.278705674351027,8484,-21.25,NA,0
14,13,1,1.89817848829878,-0.116330158421495,30819,-21.25,-25,0
15,14,1,3.63462950336154,0.300727388856377,18493,-17.5,-21.25,0
13,13,1,2.2963682320307,-0.0809736873495868,106714,-25,-25,0
13,14,1,1.98838152210395,-0.203783982343308,37541,-25,-21.25,0
13,15,1,-10.1664820772463,0.195767913960532,1703,-25,-17.5,0
15,14,2,6.03505060007383,0.478707647343247,41095,-17.5,-21.25,0.001
14,14,2,3.1896744440581,0.193642912475102,82475,-21.25,-21.25,0.001
15,NA,1,5.01115683580125,0.108768092229647,8734,-17.5,NA,0
15,NA,2,1.49319211113337,0.169330766187371,23180,-17.5,NA,0.001
14,NA,2,-4.56884097646334,-0.331328030329864,4090,-21.25,NA,0.001
14,15,2,0.964795700433868,0.0515603444233825,43945,-21.25,-17.5,0.001
16,16,1,1.1709629062975,-0.0474152611888434,47406,-13.75,-13.75,0
16,15,1,-1.20367637748357,-0.277822206583798,17050,-13.75,-17.5,0
15,16,2,0.423023247523432,0.071844451923476,98784,-17.5,-13.75,0.001
15,16,1,0.662746046051836,-0.0140167224016579,14680,-17.5,-13.75,0
17,17,2,-0.324901874480645,0.0965529550840558,104996,-10,-10,0.001
18,18,4,0.173447625056461,-0.0637240797410592,62750,-6.25,-6.25,0.003
18,17,4,-0.981115216669707,-0.0366209500004073,29984,-6.25,-10,0.003
17,17,4,0.839016737195614,-0.103110854540254,31985,-10,-10,0.003
